Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,84.019997,84.019997,83.800003,83.870003,78.071220,21000
2018-01-03,84.089996,84.309998,84.089996,84.250000,78.424911,2800
2018-01-04,84.730003,84.760002,84.400002,84.400002,78.564575,177700
2018-01-05,84.769997,85.080002,84.709999,85.080002,79.197540,9000
2018-01-08,85.010002,85.309998,85.010002,85.220001,79.327866,1800
2018-01-09,85.440002,85.570000,85.419998,85.419998,79.514038,3300
2018-01-10,85.040001,85.169998,84.930000,85.010002,79.132385,12400
2018-01-11,85.239998,85.709999,85.160004,85.709999,79.783989,116300
2018-01-12,85.720001,85.989998,85.720001,85.949997,80.007401,1500
2018-01-16,86.059998,86.059998,85.489998,85.489998,79.579208,1500
2018-01-17,85.980003,86.480003,85.980003,86.480003,80.500763,12100
2018-01-18,86.180000,86.349998,86.040001,86.089996,80.137711,9500
2018-01-19,86.419998,86.760002,86.419998,86.720001,80.724159,4000
2018-01-22,86.680000,87.059998,86.680000,87.059998,81.040642,3500
2018-01-23,87.209999,87.489998,87.209999,87.489998,81.440926,11000
2018-01-24,87.660004,87.779999,87.160004,87.480003,81.431610,4100
2018-01-25,87.580002,87.730003,87.570000,87.589996,81.533981,2900
2018-01-26,87.779999,88.180000,87.779999,88.180000,82.083206,1100
2018-01-29,88.169998,88.349998,87.949997,87.980003,81.897034,4300
2018-01-30,87.309998,87.309998,86.860001,86.959999,80.947556,12300
2018-01-31,87.279999,87.300003,86.769997,86.769997,80.770691,28000
2018-02-01,86.790001,86.919998,86.790001,86.919998,80.910316,700
2018-02-02,86.510002,86.510002,85.339996,85.440002,79.532646,3300
2018-02-05,84.860001,85.209999,82.419998,82.470001,76.768013,15600
2018-02-06,80.919998,83.019997,75.900002,83.019997,77.279984,7400
2018-02-07,83.639999,83.800003,83.470001,83.480003,77.708168,3600
2018-02-08,82.760002,82.760002,81.470001,81.470001,75.837135,2100
2018-02-09,80.910004,81.809998,79.000000,81.809998,76.153641,6400
2018-02-12,81.910004,82.629997,81.269997,82.260002,76.572525,276200
2018-02-13,81.910004,82.449997,81.849998,82.370003,76.674919,197500
2018-02-14,81.959999,82.230003,81.959999,82.230003,76.544601,300
2018-02-15,83.760002,84.320000,83.699997,84.320000,78.490112,7700
2018-02-16,84.489998,84.900002,84.489998,84.660004,78.806610,1000
2018-02-20,84.389999,84.529999,83.680000,83.860001,78.061913,5700
2018-02-21,84.320000,84.599998,84.320000,84.489998,78.648346,900
2018-02-22,83.790001,83.930000,83.379997,83.379997,77.615082,1000
2018-02-23,83.940002,84.400002,83.940002,84.400002,78.564575,900
2018-02-26,84.610001,85.309998,84.610001,85.309998,79.411644,14100
2018-02-27,85.470001,85.470001,84.430000,84.430000,78.592499,2100
2018-02-28,84.480003,84.650002,83.370003,83.370003,77.605789,13400
2018-03-01,83.379997,83.489998,82.120003,82.419998,76.721466,8100
2018-03-02,81.900002,82.650002,81.900002,82.449997,76.749405,2600
2018-03-05,83.889999,83.959999,83.769997,83.930000,78.127075,2400
2018-03-06,83.849998,84.349998,83.849998,84.230003,78.406334,1900
2018-03-07,83.989998,84.379997,83.820000,84.379997,78.545944,54700
2018-03-08,84.419998,84.639999,84.419998,84.589996,78.741425,800
2018-03-09,85.269997,85.720001,85.269997,85.720001,79.793304,1700
2018-03-12,85.959999,86.099998,85.660004,85.690002,79.765381,25800
2018-03-13,85.730003,85.730003,85.250000,85.440002,79.532646,3300
2018-03-14,85.239998,85.239998,84.959999,84.959999,79.085846,1100
2018-03-15,85.029999,85.029999,84.820000,84.820000,78.955521,1100
2018-03-16,85.279999,85.389999,85.250000,85.389999,79.486115,1500
2018-03-19,84.860001,84.860001,84.800003,84.800003,78.936897,1300
2018-03-20,84.669998,84.669998,84.589996,84.589996,78.741425,1500
2018-03-21,84.610001,84.830002,84.580002,84.650002,78.797295,5000
2018-03-22,83.120003,83.650002,82.760002,82.760002,77.320206,9300
2018-03-23,82.400002,82.489998,81.269997,81.269997,75.928146,2100
2018-03-26,81.800003,82.480003,81.349998,82.480003,77.058617,4300
2018-03-27,82.389999,83.089996,81.449997,81.449997,76.096291,16900
2018-03-28,81.650002,82.110001,81.650002,81.919998,76.535423,158600
2018-03-29,82.180000,83.010002,82.180000,82.849998,77.404266,800
2018-04-02,82.680000,82.680000,80.370003,81.110001,75.778648,41300
2018-04-03,81.339996,81.739998,81.230003,81.739998,76.367241,11600
2018-04-04,81.089996,82.029999,81.089996,81.930000,76.544754,1400
2018-04-05,83.029999,83.209999,83.029999,83.209999,77.740608,2600
2018-04-06,82.860001,82.980003,81.089996,81.089996,75.759979,1400
2018-04-09,82.099998,82.419998,82.099998,82.419998,77.002548,700
2018-04-10,82.629997,82.879997,82.610001,82.650002,77.217415,2100
2018-04-11,82.239998,82.680000,82.230003,82.379997,76.965179,56800
2018-04-12,82.800003,82.930000,82.750000,82.870003,77.422974,2800
2018-04-13,82.959999,82.959999,82.470001,82.470001,77.049263,400
2018-04-16,83.379997,83.400002,83.379997,83.379997,77.899437,1300
2018-04-17,83.949997,84.209999,83.930000,84.110001,78.581459,3400
2018-04-18,84.320000,84.320000,84.220001,84.230003,78.693588,1300
2018-04-19,83.589996,83.589996,83.489998,83.489998,78.002197,1200
2018-04-20,83.540001,83.540001,82.919998,83.089996,77.628510,22500
2018-04-23,83.400002,83.400002,82.900002,83.110001,77.647186,1600
2018-04-24,83.230003,83.230003,82.160004,82.169998,76.768982,3900
2018-04-25,82.339996,82.419998,82.339996,82.419998,77.002548,500
2018-04-26,82.570000,83.040001,82.570000,83.040001,77.581795,3400
2018-04-27,83.080002,83.129997,83.080002,83.129997,77.665878,1400
2018-04-30,83.400002,83.559998,82.739998,82.790001,77.348221,5000
2018-05-01,82.120003,82.570000,81.989998,82.419998,77.002548,35700
2018-05-02,82.290001,82.370003,82.199997,82.199997,76.797012,4100
2018-05-03,81.519997,81.610001,80.900002,81.610001,76.245781,164200
2018-05-04,81.690002,82.849998,81.690002,82.599998,77.170708,2400
2018-05-07,82.669998,82.730003,82.620003,82.620003,77.189407,1900
2018-05-08,82.690002,82.839996,82.379997,82.550003,77.124001,7200
2018-05-09,82.809998,83.199997,82.559998,83.120003,77.656532,5000
2018-05-10,83.389999,83.910004,83.250000,83.639999,78.142357,1218200
2018-05-11,84.000000,84.180000,83.790001,83.790001,78.282494,12700
2018-05-14,84.099998,84.180000,84.099998,84.150002,78.618835,5000
2018-05-15,83.330002,83.330002,83.169998,83.180000,77.712601,2200
2018-05-16,83.430000,83.430000,83.430000,83.430000,77.946159,1500
2018-05-17,83.800003,83.940002,83.550003,83.650002,78.151703,1700
2018-05-18,83.529999,83.660004,83.529999,83.570000,78.076942,1400
2018-05-21,84.110001,84.209999,84.110001,84.209999,78.674873,500
2018-05-22,84.379997,84.379997,83.970001,83.970001,78.450676,1200
2018-05-23,83.669998,84.059998,83.599998,84.059998,78.534744,2500
2018-05-24,83.930000,84.070000,83.570000,84.019997,78.497383,2900
2018-05-25,84.050003,84.050003,83.989998,83.989998,78.469337,1100
2018-05-29,83.500000,83.510002,82.889999,83.150002,77.684563,2400
2018-05-30,84.230003,84.349998,84.110001,84.169998,78.637505,3100
2018-05-31,84.129997,84.129997,83.349998,83.370003,77.890114,1500
2018-06-01,83.970001,84.160004,83.889999,84.050003,78.525406,5000
2018-06-04,84.309998,84.370003,84.180000,84.279999,78.740273,52900
2018-06-05,84.529999,84.529999,84.199997,84.360001,78.815041,3800
2018-06-06,84.470001,84.879997,84.470001,84.879997,79.300835,1100
2018-06-07,85.120003,85.129997,85.040001,85.050003,79.459686,2300
2018-06-08,85.110001,85.440002,85.110001,85.440002,79.824028,2700
2018-06-11,85.510002,85.650002,85.510002,85.550003,79.926819,1000
2018-06-12,85.699997,85.790001,85.699997,85.720001,80.085640,102800
2018-06-13,85.839996,85.839996,85.360001,85.360001,79.749306,4000
2018-06-14,85.519997,85.650002,85.449997,85.599998,79.973541,27200
2018-06-15,85.169998,85.379997,85.169998,85.379997,79.767990,1100
2018-06-18,85.620003,85.620003,85.410004,85.559998,79.936150,2100
2018-06-19,85.160004,85.320000,85.110001,85.320000,79.711929,475900
2018-06-20,85.330002,85.570000,85.330002,85.449997,79.833382,1900
2018-06-21,85.139999,85.180000,84.949997,84.949997,79.366241,3800
2018-06-22,85.300003,85.430000,85.300003,85.430000,79.814697,1200
2018-06-25,85.110001,85.110001,84.559998,84.629997,79.067276,1100
2018-06-26,84.220001,84.239998,84.220001,84.239998,79.224335,1800
2018-06-27,84.269997,84.269997,83.410004,83.410004,78.443748,3500
2018-06-28,83.260002,83.949997,83.260002,83.790001,78.801125,2800
2018-06-29,84.349998,84.360001,84.279999,84.279999,79.261948,2500
2018-07-02,83.389999,83.730003,83.389999,83.730003,78.744705,900
2018-07-03,84.250000,84.279999,83.919998,83.919998,78.923386,2000
2018-07-05,84.070000,84.589996,83.959999,84.550003,79.515900,11600
2018-07-06,84.959999,85.300003,84.959999,85.180000,80.108383,1600
2018-07-09,85.389999,85.650002,85.389999,85.519997,80.428123,70900
2018-07-10,86.230003,86.230003,85.739998,85.879997,80.766701,19100
2018-07-11,85.339996,85.589996,85.339996,85.459999,80.371696,1500
2018-07-12,85.680000,85.959999,85.489998,85.889999,80.776100,78100
2018-07-13,85.889999,85.949997,85.839996,85.889999,80.776100,33000
2018-07-16,85.889999,85.889999,85.580002,85.610001,80.512764,2300
2018-07-17,85.820000,86.000000,85.779999,86.000000,80.879547,2200
2018-07-18,85.809998,86.040001,85.809998,85.989998,80.870140,5500
2018-07-19,85.889999,86.239998,85.870003,86.169998,81.039429,6200
2018-07-20,85.910004,85.989998,85.800003,85.940002,80.823120,4900
2018-07-23,85.730003,85.879997,85.699997,85.879997,80.766701,5500
2018-07-24,85.970001,85.970001,85.660004,85.739998,80.635025,2400
2018-07-25,85.900002,86.339996,85.809998,86.330002,81.189896,5100
2018-07-26,86.800003,86.800003,86.720001,86.720001,81.556679,1500
2018-07-27,86.800003,86.800003,86.169998,86.260002,81.124077,3000
2018-07-30,86.430000,86.430000,85.879997,85.879997,80.766701,2900
2018-07-31,86.129997,86.610001,86.129997,86.510002,81.359192,8300
2018-08-01,86.379997,86.400002,86.040001,86.400002,81.255745,160600
2018-08-02,86.099998,86.510002,86.089996,86.449997,81.302750,10500
2018-08-03,86.720001,86.989998,86.680000,86.870003,81.697739,4800
2018-08-06,86.830002,87.290001,86.830002,87.129997,81.942245,5000
2018-08-07,87.150002,87.410004,87.150002,87.209999,82.017502,6000
2018-08-08,87.099998,87.169998,87.089996,87.089996,81.904648,1700
2018-08-09,87.320000,87.330002,87.019997,87.019997,81.838814,3300
2018-08-10,86.580002,86.860001,86.559998,86.559998,81.406219,4200
2018-08-13,86.660004,86.660004,86.239998,86.339996,81.199303,1300
2018-08-14,86.889999,86.910004,86.739998,86.739998,81.575500,2000
2018-08-15,86.099998,86.580002,86.099998,86.559998,81.406219,1500
2018-08-16,87.300003,87.370003,87.110001,87.110001,81.923462,3800
2018-08-17,87.330002,87.720001,87.330002,87.580002,82.365486,3300
2018-08-20,87.879997,87.989998,87.879997,87.989998,82.751053,1500
2018-08-21,88.180000,88.230003,88.129997,88.150002,82.901535,7200
2018-08-22,88.000000,88.000000,87.779999,87.860001,82.628807,3500
2018-08-23,87.589996,87.660004,87.500000,87.500000,82.290237,2200
2018-08-24,87.889999,88.129997,87.889999,88.129997,82.882729,3200
2018-08-27,88.239998,88.489998,88.239998,88.339996,83.080223,14800
2018-08-28,88.430000,88.470001,88.339996,88.400002,83.136681,148600
2018-08-29,88.610001,88.930000,88.610001,88.849998,83.559845,4500
2018-08-30,88.559998,88.559998,88.260002,88.290001,83.033211,2600
2018-08-31,88.400002,88.400002,88.209999,88.209999,82.957954,6000
2018-09-04,88.400002,88.430000,88.139999,88.430000,83.164871,168100
2018-09-05,88.269997,88.529999,88.269997,88.529999,83.258911,1400
2018-09-06,88.489998,88.489998,88.480003,88.480003,83.211891,1400
2018-09-07,88.190002,88.500000,88.139999,88.139999,82.892120,4000
2018-09-10,88.570000,88.620003,88.430000,88.440002,83.174271,3000
2018-09-11,88.150002,88.680000,88.150002,88.669998,83.390594,2300
2018-09-12,88.650002,88.680000,88.480003,88.629997,83.352943,14600
2018-09-13,88.980003,89.180000,88.980003,89.169998,83.860802,9400
2018-09-14,89.139999,89.239998,88.959999,89.239998,83.926636,3100
2018-09-17,89.139999,89.139999,88.910004,88.980003,83.682098,1600
2018-09-18,89.110001,89.290001,89.110001,89.199997,83.889015,1500
2018-09-19,89.360001,89.410004,88.989998,88.989998,83.691521,22000
2018-09-20,89.180000,89.629997,89.180000,89.629997,84.293404,6700
2018-09-21,89.779999,89.779999,89.650002,89.690002,84.349854,1300
2018-09-24,89.400002,89.400002,88.809998,89.000000,83.700928,3500
2018-09-25,89.089996,89.089996,88.739998,88.739998,83.456398,3800
2018-09-26,88.180000,88.300003,87.650002,87.709999,83.004059,5100
2018-09-27,87.860001,87.989998,87.680000,87.760002,83.051384,3600
2018-09-28,87.750000,87.980003,87.750000,87.949997,83.231178,5000
2018-10-01,88.269997,88.269997,87.680000,87.680000,82.975662,159900
2018-10-02,87.800003,88.089996,87.769997,87.930000,83.212242,5300
2018-10-03,88.290001,88.290001,87.660004,87.660004,82.956734,2800
2018-10-04,87.500000,87.500000,86.860001,86.949997,82.284843,2200
2018-10-05,86.919998,86.949997,86.910004,86.949997,82.284843,2600
2018-10-08,86.839996,86.970001,86.730003,86.970001,82.303764,1000
2018-10-09,86.930000,87.059998,86.790001,86.790001,82.133415,1600
2018-10-10,86.389999,86.389999,84.519997,84.519997,79.985199,10400
2018-10-11,84.230003,84.230003,83.029999,83.029999,78.575142,1500
2018-10-12,83.510002,83.559998,82.339996,83.300003,78.830673,4400
2018-10-15,83.410004,83.730003,83.360001,83.639999,79.152428,2000
2018-10-16,83.620003,84.419998,83.620003,84.419998,79.890572,2700
2018-10-17,84.900002,84.919998,84.099998,84.739998,80.193390,51100
2018-10-18,83.790001,83.790001,83.790001,83.790001,79.294365,400
2018-10-19,84.419998,84.419998,84.050003,84.070000,79.559341,2800
2018-10-22,84.099998,84.099998,83.470001,83.470001,78.991539,5200
2018-10-23,82.349998,83.099998,81.949997,82.860001,78.414268,65600
2018-10-24,83.040001,83.040001,81.230003,81.230003,76.871742,4800
2018-10-25,81.519997,82.559998,81.519997,82.080002,77.676117,2100
2018-10-26,81.570000,81.570000,81.570000,81.570000,77.193489,1500
2018-10-29,82.150002,82.169998,80.099998,80.099998,75.802353,2200
2018-10-30,80.970001,81.970001,80.970001,81.660004,77.278664,1700
2018-10-31,83.040001,83.279999,82.910004,83.239998,78.773903,2000
2018-11-01,83.029999,83.639999,83.029999,83.639999,79.152428,172300
2018-11-02,82.989998,83.389999,82.820000,83.330002,78.859055,11800
2018-11-05,83.370003,84.010002,83.370003,84.010002,79.502579,5000
2018-11-06,84.199997,84.480003,84.199997,84.320000,79.795944,5100
2018-11-07,85.339996,85.709999,85.339996,85.650002,81.054573,4400
2018-11-08,85.720001,85.849998,85.550003,85.650002,81.054573,14300
2018-11-09,85.330002,85.330002,84.980003,84.980003,80.420540,1600
2018-11-12,84.980003,84.980003,84.070000,84.070000,79.559341,6800
2018-11-13,84.449997,84.720001,84.110001,84.269997,79.748611,10700
2018-11-14,84.510002,84.510002,83.500000,83.650002,79.161888,5600
2018-11-15,83.059998,84.129997,83.059998,84.110001,79.597206,4900
2018-11-16,84.269997,84.980003,84.260002,84.440002,79.909523,5500
2018-11-19,84.199997,84.199997,83.629997,83.629997,79.142952,3400
2018-11-20,83.040001,83.120003,82.599998,82.790001,78.348038,3700
2018-11-21,83.220001,83.370003,83.220001,83.250000,78.783356,2600
2018-11-23,82.470001,83.000000,82.239998,82.970001,78.518372,4100
2018-11-26,83.629997,83.629997,83.360001,83.589996,79.105103,8500
2018-11-27,83.559998,83.690002,83.389999,83.690002,79.199745,25700
2018-11-28,83.639999,84.830002,83.639999,84.830002,80.278587,4700
2018-11-29,84.739998,85.180000,84.669998,84.980003,80.420540,8000
2018-11-30,84.980003,85.550003,84.980003,85.550003,80.959953,8800
2018-12-03,86.550003,86.639999,86.040001,86.410004,81.773804,19900
2018-12-04,86.389999,86.389999,83.629997,83.650002,79.161888,10400
2018-12-06,82.279999,83.550003,81.699997,83.550003,79.067245,18600
2018-12-07,83.160004,83.279999,81.589996,81.589996,77.212402,20500
2018-12-10,81.419998,81.760002,80.190002,81.459999,77.089378,21800
2018-12-11,82.050003,82.050003,81.089996,81.320000,76.956917,8900
2018-12-12,82.320000,82.699997,81.820000,81.900002,77.505768,241300
2018-12-13,81.930000,81.940002,81.180000,81.379997,77.013680,544200
2018-12-14,81.059998,81.120003,80.230003,80.230003,75.925392,4100
2018-12-17,78.889999,79.779999,77.720001,78.089996,74.252800,254700
2018-12-18,78.800003,78.800003,77.550003,78.010002,74.176758,11600
2018-12-19,78.690002,79.050003,76.440002,76.760002,72.988167,21300
2018-12-20,76.150002,76.739998,74.760002,75.430000,71.723534,28000
2018-12-21,75.870003,76.190002,74.000000,74.050003,70.411324,29100
2018-12-24,73.430000,73.620003,72.150002,72.150002,68.604691,38600
2018-12-26,72.459999,75.470001,71.839996,75.470001,71.761551,35500
2018-12-27,74.389999,75.800003,73.519997,75.800003,72.075340,16800
2018-12-28,76.370003,76.860001,75.779999,75.800003,72.138161,23400
2018-12-31,76.239998,76.629997,75.690002,76.629997,72.928032,40500
2019-01-02,76.050003,76.750000,75.989998,76.480003,72.785324,43500
2019-01-03,75.769997,76.129997,75.059998,75.059998,71.433891,10900
2019-01-04,76.180000,77.720001,76.180000,77.629997,73.879730,13200
2019-01-07,77.699997,78.970001,77.540001,78.559998,74.764816,11000
2019-01-08,79.360001,79.440002,78.559998,79.360001,75.526176,17500
2019-01-09,79.820000,80.239998,79.570000,79.970001,76.106712,22100
2019-01-10,79.389999,80.510002,79.389999,80.510002,76.620613,7500
2019-01-11,79.989998,80.559998,79.930000,80.529999,76.639648,646700
2019-01-14,80.059998,80.339996,79.989998,80.160004,76.287529,65400
2019-01-15,80.459999,80.730003,80.279999,80.599998,76.706268,9500
2019-01-16,80.860001,81.129997,80.699997,80.959999,77.048882,9800
2019-01-17,81.000000,81.870003,80.989998,81.639999,77.696045,7200
2019-01-18,82.139999,82.989998,82.139999,82.870003,78.866615,21300
2019-01-22,82.139999,82.139999,81.309998,81.620003,77.676979,23100
2019-01-23,81.919998,81.919998,80.940002,81.629997,77.686516,13000
2019-01-24,81.989998,82.260002,81.790001,82.080002,78.114769,5900
2019-01-25,82.709999,83.199997,82.709999,83.000000,78.990326,11700
2019-01-28,82.410004,82.690002,82.150002,82.690002,78.695305,26200
2019-01-29,82.820000,82.930000,82.639999,82.750000,78.752396,7400
2019-01-30,82.879997,83.959999,82.720001,83.709999,79.666023,13900
2019-01-31,83.919998,84.379997,83.919998,84.379997,80.303665,9200
2019-02-01,84.510002,84.709999,84.209999,84.629997,80.541580,17500
2019-02-04,84.750000,85.040001,84.309998,85.040001,80.931770,35400
2019-02-05,85.250000,85.510002,85.059998,85.419998,81.293404,41800
2019-02-06,85.269997,85.440002,85.110001,85.330002,81.207771,10700
2019-02-07,84.989998,85.019997,84.239998,84.849998,80.750961,9000
2019-02-08,84.230003,84.820000,84.120003,84.820000,80.722389,10700
2019-02-11,85.040001,85.180000,85.040001,85.169998,81.055489,8400
